,Month,Day,Rainfall,Perca,CumRain
324,11,20,4.25,0.005632099095259601,99.40486602760231
325,11,21,0.0,0.0,99.40486602760231
326,11,22,0.14,0.00018552797019678687,99.40505155557251
327,11,23,2.3,0.003047959510375784,99.4080995150829
328,11,24,28.8,0.0381657538690533,99.44626526895195
329,11,25,9.2,0.012191838041503136,99.45845710699345
330,11,26,6.4,0.0084812786375674,99.46693838563101
331,11,27,0.5,0.0006625998935599531,99.46760098552457
332,11,28,45.67,0.06052187427776611,99.52812285980234
333,11,29,3.4,0.00450567927620768,99.53262853907854
334,11,30,0.0,0.0,99.53262853907854
335,12,1,45.8,0.06069415025009169,99.59332268932863
336,12,2,4.5,0.005963399042039577,99.59928608837068
337,12,3,9.3,0.012324358020215129,99.61161044639088
338,12,4,58.4,0.07739166756780252,99.6890021139587
339,12,5,0.0,0.0,99.6890021139587
340,12,6,20.3,0.02690155567853409,99.71590366963723
341,12,7,0.26,0.0003445519446511756,99.71624822158188
342,12,8,1.4,0.0018552797019678684,99.71810350128385
343,12,9,0.0,0.0,99.71810350128385
344,12,10,46.42,0.06151577411810604,99.77961927540196
345,12,11,15.2,0.02014303676422257,99.79976231216618
346,12,12,0.9,0.0011926798084079156,99.80095499197459
347,12,13,86.39999999999999,0.11449726160715987,99.91545225358175
348,12,14,1.5,0.001987799680679859,99.91744005326242
349,12,15,6.9,0.009143878531127352,99.92658393179356
350,12,16,2.0,0.0026503995742398123,99.9292343313678
351,12,17,5.8,0.007686158765295455,99.93692049013309
352,12,18,1.0,0.0013251997871199061,99.93824568992021
353,12,19,4.1,0.005433319127191614,99.9436790090474
354,12,20,6.9,0.009143878531127352,99.95282288757853
355,12,21,0.21,0.00027829195529518026,99.95310117953383
356,12,22,23.79,0.03152650293558257,99.98462768246941
357,12,23,0.0,0.0,99.98462768246941
358,12,24,0.57,0.0007553638786583464,99.98538304634806
359,12,25,2.43,0.003220235482701372,99.98860328183076
360,12,26,0.0,0.0,99.98860328183076
361,12,27,0.0,0.0,99.98860328183076
362,12,28,0.0,0.0,99.98860328183076
363,12,29,0.1,0.00013251997871199062,99.98873580180947
364,12,30,5.9,0.007818678744007447,99.99655448055347
365,12,31,2.6,0.003445519446511756,99.99999999999999
